Date (CET)	Lower Silesia (DS)	Kuyavia-Pomerania (KP)	Lubusz (LB)	Łódź (LD)	Lublin (LU)	Lesser Poland (MA)	Masovia (MZ; Warsaw)	Opole (OP)	Podlaskie (PD)	Subcarpathian (PK)	Pomerania (PM)	Holy Cross (SK)	Silesia (SL)	Warmia–Masuria (WN)	Greater Poland (WP)	West Pomerania (ZP)	Poland daily	Poland total	Sources
4 March 2020			1														1	1	
5 March 2020																	0	1	
6 March 2020	1													1		2	4	5	
7 March 2020														1			1	6	
8 March 2020	1						2						2				5	11	
9 March 2020	1					1							3		1		6	17	
10 March 2020	1				1		1						2				5	22	
11 March 2020				1	1		1	1		1			1	2	1		9	31	
12 March 2020	3			1	4		2	1		2			3		3	1	20	51	
13 March 2020	1			3	1		5			3			1		1	2	17	68	
14 March 2020	5			10	8		5	2		1	2	2			1		36	104	
15 March 2020	2		1	4	2		6			1		1	2	1		1	21	125	
16 March 2020	12			12	1	1	13	2		3			4		4		52	177	
17 March 2020	11	8		11	4	3	3	2	1		6		6	2	2	2	61	238	
18 March 2020	2		1			1	28	1	1	3	1	1	6	4			49	287	
19 March 2020	13	3	6	6	3	1	16	1	-1	3		1	12	1	2	1	68	355	
20 March 2020	5	3		9	3	7	25		2	2	1	1	4	5	3		70	425	
21 March 2020	8	4		34	3	2	20		2	6	4	1	10	3	13	1	111	536	
22 March 2020	13		2	15	8	8	20	4	1	4	3		10	2	6	2	98	634	
23 March 2020	22	3	5	5	9	9	28	5	1	1	4	1	11	3	4	4	115	749	
24 March 2020	33	1	5	18	6	16	37	2		7	1		10	4	1	11	152	900	
25 March 2020	16	5	2	15	6	7	39	2	3	6		6	20	4	15	4	150	1051	
26 March 2020	15	4	7	14	14	13	40	3	3	10	6	1	20	6	12	2	170	1221	
27 March 2020	28	2	1	10	4	24	27	2	4	8	4	7	14	5	21	7	168	1389	
28 March 2020	21	4	2	14	9	19	103	3	9	10	4	5	24	2	9	11	249	1638	
29 March 2020	20	10		8	18	38	40	12	2	5	9	7	30	10	9	6	224	1862	
30 March 2020	24	25	3	12	9	24	26	11	8	4	3	3	14	1	24	2	193	2055	
31 March 2020	16	4	6	6	18	18	57	16		15	6	12	55	1	16	10	256	2311	
1 April 2020	52	8	5	13	1	17	68	5	11	9	6	6	8	3	21	10	243	2554	
2 April 2020	12	73	1	15	18	21	142	3	12	7	10	7	29	6	26	10	392	2946	
3 April 2020	62	42	2	12	7	32	54	12	15	14	12	17	130	8	18		437	3383	
4 April 2020	7	25	6	11	7	46			8	11	22	2	65	3	20	11	244	3627	
5 April 2020	61	17	3	67	9	19	159	4	9	13	13	12	41	2	40	6	475	4102	
6 April 2020	20	4	3	14	7	22	98	7	18	7	8	10	25	3	54	11	311	4413	
